number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
51,inf,2024-07-21 05:44:47.394122,2024-07-21 05:45:26.015925,0 days 00:00:38.621803,15,153,COMPLETE
52,inf,2024-07-21 05:44:49.136093,2024-07-21 05:45:25.279046,0 days 00:00:36.142953,16,154,COMPLETE
53,inf,2024-07-21 05:44:59.582226,2024-07-21 05:45:32.182077,0 days 00:00:32.599851,16,126,COMPLETE
54,inf,2024-07-21 05:45:02.063400,2024-07-21 05:45:36.092626,0 days 00:00:34.029226,16,126,COMPLETE
55,inf,2024-07-21 05:45:04.094679,2024-07-21 05:45:38.683260,0 days 00:00:34.588581,16,137,COMPLETE
56,inf,2024-07-21 05:45:05.922427,2024-07-21 05:45:36.794117,0 days 00:00:30.871690,17,126,COMPLETE
57,inf,2024-07-21 05:45:15.837766,2024-07-21 05:45:48.355583,0 days 00:00:32.517817,13,135,COMPLETE
58,inf,2024-07-21 05:45:18.706326,2024-07-21 05:46:02.155096,0 days 00:00:43.448770,13,183,COMPLETE
59,inf,2024-07-21 05:45:25.295405,2024-07-21 05:46:11.116792,0 days 00:00:45.821387,13,183,COMPLETE
60,inf,2024-07-21 05:45:26.075729,2024-07-21 05:46:08.760333,0 days 00:00:42.684604,13,187,COMPLETE
61,inf,2024-07-21 05:45:32.190467,2024-07-21 05:46:17.513040,0 days 00:00:45.322573,13,185,COMPLETE
62,inf,2024-07-21 05:45:36.097135,2024-07-21 05:46:21.620719,0 days 00:00:45.523584,13,184,COMPLETE
63,inf,2024-07-21 05:45:36.798630,2024-07-21 05:46:20.668399,0 days 00:00:43.869769,13,183,COMPLETE
64,inf,2024-07-21 05:45:38.688787,2024-07-21 05:46:27.504001,0 days 00:00:48.815214,13,184,COMPLETE
65,inf,2024-07-21 05:45:48.361110,2024-07-21 05:46:32.999501,0 days 00:00:44.638391,13,184,COMPLETE
66,inf,2024-07-21 05:46:02.169152,2024-07-21 05:46:51.187508,0 days 00:00:49.018356,15,194,COMPLETE
67,inf,2024-07-21 05:46:08.772871,2024-07-21 05:46:59.599150,0 days 00:00:50.826279,18,200,COMPLETE
68,inf,2024-07-21 05:46:11.181885,2024-07-21 05:46:32.463561,0 days 00:00:21.281676,10,108,COMPLETE
69,inf,2024-07-21 05:46:17.519387,2024-07-21 05:46:39.362041,0 days 00:00:21.842654,10,107,COMPLETE
70,inf,2024-07-21 05:46:20.688845,2024-07-21 05:46:43.550688,0 days 00:00:22.861843,10,109,COMPLETE
71,inf,2024-07-21 05:46:21.625718,2024-07-21 05:46:45.324626,0 days 00:00:23.698908,10,108,COMPLETE
72,inf,2024-07-21 05:46:27.509238,2024-07-21 05:46:59.052842,0 days 00:00:31.543604,10,131,COMPLETE
73,inf,2024-07-21 05:46:32.468602,2024-07-21 05:47:18.162369,0 days 00:00:45.693767,10,198,COMPLETE
74,inf,2024-07-21 05:46:33.023593,2024-07-21 05:47:13.956731,0 days 00:00:40.933138,15,148,COMPLETE
75,inf,2024-07-21 05:46:39.367547,2024-07-21 05:47:13.054648,0 days 00:00:33.687101,17,112,COMPLETE
76,inf,2024-07-21 05:46:43.560224,2024-07-21 05:47:20.411279,0 days 00:00:36.851055,15,148,COMPLETE
77,inf,2024-07-21 05:46:45.329310,2024-07-21 05:47:24.919198,0 days 00:00:39.589888,15,148,COMPLETE
78,inf,2024-07-21 05:46:51.193050,2024-07-21 05:47:28.539923,0 days 00:00:37.346873,17,148,COMPLETE
79,inf,2024-07-21 05:46:59.059362,2024-07-21 05:47:39.227292,0 days 00:00:40.167930,17,148,COMPLETE
80,inf,2024-07-21 05:46:59.618151,2024-07-21 05:47:38.392072,0 days 00:00:38.773921,15,147,COMPLETE
81,inf,2024-07-21 05:47:13.060191,2024-07-21 05:47:50.049177,0 days 00:00:36.988986,15,148,COMPLETE
82,inf,2024-07-21 05:47:13.963753,2024-07-21 05:47:43.785189,0 days 00:00:29.821436,11,137,COMPLETE
83,inf,2024-07-21 05:47:18.168884,2024-07-21 05:47:48.177052,0 days 00:00:30.008168,11,138,COMPLETE
84,inf,2024-07-21 05:47:20.415277,2024-07-21 05:47:49.195805,0 days 00:00:28.780528,11,138,COMPLETE
85,inf,2024-07-21 05:47:24.924209,2024-07-21 05:47:55.461780,0 days 00:00:30.537571,11,138,COMPLETE
86,inf,2024-07-21 05:47:28.548445,2024-07-21 05:47:56.776560,0 days 00:00:28.228115,11,137,COMPLETE
87,inf,2024-07-21 05:47:38.396593,2024-07-21 05:48:07.108234,0 days 00:00:28.711641,11,138,COMPLETE
88,inf,2024-07-21 05:47:39.235318,2024-07-21 05:48:08.478488,0 days 00:00:29.243170,11,137,COMPLETE
89,inf,2024-07-21 05:47:43.816809,2024-07-21 05:48:05.797014,0 days 00:00:21.980205,12,103,COMPLETE
90,inf,2024-07-21 05:47:48.184767,2024-07-21 05:48:15.268259,0 days 00:00:27.083492,12,122,COMPLETE
91,inf,2024-07-21 05:47:49.200981,2024-07-21 05:48:15.606637,0 days 00:00:26.405656,12,122,COMPLETE
92,inf,2024-07-21 05:47:50.056697,2024-07-21 05:48:18.861400,0 days 00:00:28.804703,12,123,COMPLETE
93,inf,2024-07-21 05:47:55.539120,2024-07-21 05:48:25.286898,0 days 00:00:29.747778,12,133,COMPLETE
94,inf,2024-07-21 05:47:56.781598,2024-07-21 05:48:24.586581,0 days 00:00:27.804983,12,122,COMPLETE
95,inf,2024-07-21 05:48:05.819431,2024-07-21 05:48:37.637370,0 days 00:00:31.817939,12,129,COMPLETE
96,inf,2024-07-21 05:48:07.113247,2024-07-21 05:48:34.988188,0 days 00:00:27.874941,12,123,COMPLETE
97,inf,2024-07-21 05:48:08.483052,2024-07-21 05:48:36.882149,0 days 00:00:28.399097,12,123,COMPLETE
98,inf,2024-07-21 05:48:15.288445,2024-07-21 05:48:47.653985,0 days 00:00:32.365540,19,159,COMPLETE
99,inf,2024-07-21 05:48:15.610661,2024-07-21 05:48:47.434721,0 days 00:00:31.824060,19,160,COMPLETE
